portal_name,date,tags,link,header,article
ohtuleht,  täna 19:27,Ilm ja loodus,https://www.ohtuleht.ee/1034587/puhapaeval-kimbutab-hoovihm,Pühapäeval kimbutab hoovihm (1),"Vihmane ilm.Sel pühepäeval on oodata küll kuni 17 kraadi sooja, aga hoovihmast pääsu ei näi olevat.Pühapäeval liigub madalrõhkkond Skandinaavia lõunaosa kohale ja laieneb üle Läänemere idaranniku, vahendab ilmateenistus.ee.Öösel sajab põhiliselt Eesti idaservas, tuul on nõrk ja muutliku suunaga.Õhutemperatuur on 3 kuni 9, Ida-Eestis kuni 11 kraadi. Lääne pool võib maapinna lähedal temperatuur langeda 0 kraadini.Päeval soosib madalrõhuala mõjusfäär tõusvates õhuvooludes rünksajupilvede arengut ning siin-seal tuleb hoogvihma. Tuul pöördub läänekaarde ja muutub pisut tuntavamaks. Õhutemperatuur on 12 kuni 17 soojakraadi."
ohtuleht,  täna 16:01,Eesti uudised,https://www.ohtuleht.ee/1034577/galerii-tammsaare-parki-kogunesid-palestiina-toetajad-seisame-inimoiguste-eest,GALERII | Tammsaare parki kogunesid Palestiina toetajad: seisame inimõiguste eest! (107),"Tallinnas kogunesid täna pärastlõunal Tammsaare parki kümned inimesed, et näidata solidaarsust palestiinlastega.„Väga palju palestiinlaste poolt ei räägita. Uudiste pealkirjad ikkagi annavad edasi Iisraeli seisukohti ning tahame rohkem palestiinlaste kannatusi välja tuua. Pöörame tähelepanu sealsele inimõiguste olukorrale,“ sõnab ürituse korraldaja Laura. Kohal on välismaalasi, kes elavad Eestis ning ka eestlasi, kellele teema korda läheb. Inimesed, kellel seljas kollased vestid, seisavad ringis, et lüüa trumme ja muid löökpille. Kooris hüütakse „We stand with Palestine!“ (Me seisame Palestiinaga! – inglise k.). Üksteise järel peetakse kõnesid, milles jagatakse isiklikke kogemusi ja arvamusi olukorrast. „Ma ei pea olema palestiinlane, et tunda ebaõiglust kaotada oma kodu, oma maa, inimesed, keda armastan ja isegi oma elu. Vaba Palestiina!“ kõlab kõlaritest.Kogunemisel lehvivad Palestiina lipud, korraldajad jagavad kogunejatele silte ja maske. Rahvas hoiab käes papist silte sõnumitega „Õiglus palestiinlastele”, „Rahu” ja „Lõpetage laste tapmine“.„Mina sain Twitteri kaudu teada, et see toimub. Need viimase aja uudised on päris õudsed olnud ja olen neil pidevalt ka silma peal hoidnud. Ootasin, et keegi Eestis midagi sellist teeks,” sõnab osaline Anette. “Me ei ole mitte Palestiina poolt, vaid see on lihtsalt süsteemne vägivald ühe inimgrupi vastu, mis on toimunud juba pikka aega,“ räägib ta.„Küsimus ei ole Palestiina poolt olemises, vaid palestiinlaste inimõiguste eest seismises,“ lisab Sanna. Palestiinast pärit noor naine kirjutab kriidiga sõnumeid kõnniteele ning räägib, et Lähis-Ida konflikt on mõjutanud teda ja tema pere väga lähedalt. „Kaotasime oma kodu. Ootan siiani tagasiminekut, aga me ei saa enam tagasi. On inimesi, kellel ei ole inimõigusi ega inimvabadust. On aeg, et see lõpeks,” ütleb Lynne. “See on kestnud nii kaua aega. Mul pole palju lootust. See on selline asi, mis ei lõpe lihtsalt üleöö,“ ütleb ta pisarsilmil. „Kui vaadata neid arve ja näitajaid ning kuidas need konfliktid on eskaleerunud, siis mulle tundub, et Eestis saab hästi palju sõna just see, et Iisrael on kannataja ja neil on õigus end kaitsta. Samas, kui vaadata hukkunute arvu või seda, millised vahendid neil on enda kaitsmiseks, siis see on täiesti ebaproportsionaalne. Palestiinlasi sureb sadu kordi rohkem,“ kutsub osaleja Anette inimesi konflikti teist poolt märkama. "
ohtuleht,  täna 15:16,Eesti uudised,https://www.ohtuleht.ee/1034583/ruutelmaa-orkestrite-koondamisest-kui-kaotatakse-tipud-jaab-ka-teistel-siht-vaiksemaks,"Rüütelmaa orkestrite koondamisest: kui kaotatakse tipud, jääb ka teistel siht väiksemaks (7)","KaitseväeorkesterKlassikaraadio saade „Helikaja“ keskendus Kaitseväe orkestri ning Politsei- ja Piirivalveorkestri (PPA) hetkeolukorra kaardistamisele ja võimalikult lähisaatusele.Näiteks Eesti Puhkpillimuusika Ühingu tegevsekretär Valdo Rüütelmaa kinnitas, et kahe tipp-kollektiivi likvideerimine on kogu kodumaise puhkpillimuusika jaoks väga valus otsus, vahendab ERR-i kultuuriportaal.Kommentaari palju tähelepanu teeninud hetkeolukorrale andis kaitseminister Kalle Laanet, kes toonitas, et Kaitseväe orkestri likvideerimisele tema allkirja andnud ei ole ning orkestri laialisaatmisele otsitakse alternatiivi: „Mina oma otsust veel teinud ei ole.“ Siseminister Kristian Jaani  avaldas oma tähelepanekuid PPA orkestri osas ja toob välja võimaluse kahe orkestri baasil luua üks uus kollektiiv, mis aitaks muuta ka orkestrantide-dirigentide palgad konkurentsivõimelisemad.Kultuuriminister Anneli Ott kutsus lõppenud nädalad kolleegid kokku ja tema juhtimisel moodustati töörühm, mis hakkab kustutama orkestrite koondamisega süttinud pahameelelõket: „Ma arvan, et orkestrite koondamise otsused on olnud rutakad.“16. mail teatas kaitsevägi, et plaanivad koondatakse orkester ja kaplaniteenistus. Kaitseväe juhataja kindralleitnant Martin Herem selgitas, et kokkuhoiu käigus ei tohi kaitseväe võitlusvõime ja lahinguvalmidus langeda."
ohtuleht,  täna 12:01,Eesti uudised,https://www.ohtuleht.ee/1034574/eesti-on-viimase-20-aastaga-tousnud-euroopa-liidu-riikide-seas-uheks-autokeskseimaks-riigiks,Eesti on viimase 20 aastaga tõusnud Euroopa Liidu riikide seas üheks autokeskseimaks riigiks (19),"Viimase 20 aastaga on isikliku sõiduauto kasutamine kodunt tööle liikumisel Eestis peaaegu kahekordistunud, selgub Arenguseire Keskuse teisipäeval avaldatavast raportist „Liikuvuse tulevik. Arengustsenaariumid aastani 2035“. Transpordikulud moodustavad 14% inimeste kogukuludest. „Sõiduauto kasutamine on kasvanud eelkõige ühistranspordi ja jalgsi liikumise arvelt,“ ütleb Arenguseire Keskuse ekspert Uku Varblane. „Nii on Eesti lühikese aja jooksul tõusnud Euroopa Liidu riikide seas üheks kõige autokesksemaks riigiks.“ Varblase sõnul sõltub isikliku auto kasutamise võimalusest sageli ka töökohtade kättesaadavus. „Sõiduautost on kohati saanud seetõttu ka sundkulu, mis võib väiksemast sissetulekust võtta märkimisväärse osa,“ märgib ta. „Samas on isikliku sõiduauto keskne liikuvus ebaefektiivne ja ruumi raiskav ning mõjutab negatiivselt elukeskkonda ja elanikkonna tervist.“ Samal ajal on ühistranspordi kasutamise osakaal töölkäimisel järjepidevalt kahanenud ja jõudis 2020. aastal 18,4% tasemele (2019 – 20,6%). See jääb märkimisväärselt alla 2014-2020 transpordi arengukavas eesmärgiks seatud 25%-le ning on madalam ka 2014. aasta baastasemest (22,6%).Eesti elanike keskmised kulud transpordile on raporti järgi kasvanud aastatel 2012-2019 kahekordseks (2012 – 428 eurot, 2019 - 859 eurot), kulud sõiduki soetamisele ja remondile kolmekordseks (2012 - 166 eurot, 2019 - 489 eurot). Samal ajal on leibkonnaliikme keskmised kulud tervikuna kasvanud vaid 69%. Arenguseire Keskuse uuringusuuna lõppraportit „Liikuvuse tulevik. Arengustsenaariumid aastani 2035“ tutvustatakse veebiesitlusel 25. mail kell 11.00. Esitlust saab jälgida keskuse Facebooki otseülekandest ja veebilehelt.Arenguseire Keskus on ühiskonna ja majanduse pikaajalisi arenguid analüüsiv mõttekoda Riigikogu Kantselei juures. Keskus viib läbi uurimisprojekte Eesti ühiskonna pikaajaliste arengute analüüsimiseks, uute trendide ja arengusuundade avastamiseks."
ohtuleht,  täna 11:46,Krimi,https://www.ohtuleht.ee/1034573/politsei-otsib-harjumaal-kadunud-84aastast-germanit,Politsei otsib Harjumaal kadunud 84aastast Germanit ,"Politsei palub kaasabi selgitamaks Haaberstis kadunuks jäänud 84aastase Germani asukohta.Reede õhtul kella 20.30 ajal andsid murelikud lähedased häirekeskusele teada, et German lahkus hommikul kodust teadmata suunas ega ole endiselt tagasi tulnud. Teadaolevalt lahkus mees oma Haabersti Väike-Õismäe asumis asuvast kodust reede hommikul kella 9 ajal. Telefoni mehel kaasas ei ole, kuid eile kella viie ajal õhtul oli mees tundmatult numbrilt helistanud koju lauatelefonile ning teada andnud, et hakkab Harkust kodu poole tulema, paraku German koju ei jõudnud.Politseinikud on suhelnud mehe sugulastega ning kontrollivad võimalikke paiku, kuhu ta võis minna. Samuti vaatavad politseinikud läbi ümberkaudset piirkonda. Lisaks on kontrollitud Harku, Keila, Tabasalu, Mustamäe ja Õismäe piirkonda. Paraku ei ole meest seni leitud.Germanil on lühikesed hallid juuksed. Kodust lahkudes oli mehel seljas must jope, jalas mustad püksid ning peas must sonimüts. Politsei palub kõigil, kes on Germanit näinud või omavad teavet tema võimaliku asukoha kohta, anda sellest teada hädaabinumbril 112. "
ohtuleht,  täna 09:46,Maailm,https://www.ohtuleht.ee/1034558/kahe-tule-vahel-taiwan-proovib-kulmas-sojas-ellu-jaada,KAHE TULE VAHEL: Taiwan proovib külmas sõjas ellu jääda ,"Kuidas säilitada meelemõistus, kui oled kahele maailma võimsamale riigile potentsiaalseks sõjatandriks? Ning kui üks neist ähvardab pidevalt: kui muutud liiga sõnakaks, saadame sõdurid sisse! Eksistentsiaalsed dilemmad valitsevad nii Taiwani minevikku, olevikku kui tulevikku.Hiina vabariik – sellist täispikka nime kannab 23,5 miljoni elanikuga Taiwani saar. Mitte Hiina rahvavabariik, mida lahutab saarest 161 kilomeetri laiune väin ja mille pealinn on Peking, mida rahvasuus tuntakse lihtsalt nimega Hiina ning mille elanike arv on pea 1,4 miljardit."
ohtuleht,  täna 09:45,Eesti uudised,https://www.ohtuleht.ee/1034494/mobiil-id-ja-smart-id-valjastamine-on-endiselt-hairitud,Mobiil-ID ja Smart-ID väljastamine on endiselt häiritud (4),"Algselt avaldatud kl. 10.53, jooksvalt täiendatud kl. 12.53 ja 22. mai kl 9.45Laupäeval on endiselt häiritud Smart-ID registreerimine ja Mobiil-ID ning ID-kaardi väljastamine.Laupäeval on endiselt häiritud Mobiil-ID väljastamine operaatorite poolt ja Smart-ID konto registreerimine biomeetrilise passiga, Mobiil-ID-ga, ID-kaardiga ja ka pangakontorites. SK ID Solutionsi plaaniliste uuendustööde käigus katkes reede öösel SK sertifitseerimisteenuse töö, mistõttu polnud võimalik politsei- ja piirivalveameti teenindustes väljastada uusi ID-kaarte, elamisloakaarte ega digi-ID-d. Osaliselt oli häiritud uute PIN-koodide väljastamine."
ohtuleht,  täna 09:23,Eesti uudised,https://www.ohtuleht.ee/1034566/mees-peksis-ohvril-metallist-loodiga-luud-puruks-kohus-karistas-teda-tingimisi,"Mees peksis ohvril metallist loodiga luud puruks, kohus karistas teda tingimisi  (20)","Tartu maakohus mõistis maikuus 11-kuulise tingimisi vangistuse mehele, kes peksis ohvrit pähe ja kehasse metallist loodiga nii, et too sai luumurrud.Süüdistuse järgi lõi Kalmar mullu 28. oktoobril Elva vallas eramus kannatanut metallist loodiga ühe korra vastu pead ja seejärel korduvalt kehapiirkonda, tabades küünarnukki, õlga ja rannet. Ohvril tuvastati kehavigastused: küünarluukeha ja tikkeljätke murrud, nahaalused verevalumid ja peahaav. Nüüd oli Kalmar Tartu maakohtu ees. Kohus karistas teda 11kuulise vangistusega tingimisi."
ohtuleht,  täna 07:42,Eesti uudised,https://www.ohtuleht.ee/1034546/keeristormi-kaisutuses-tornaadode-ja-tuulispaskade-hirmuteod-eestis,KEERISTORMI KAISUTUSES: tornaadode ja tuulispaskade hirmuteod Eestis ,"Tõnis Erilaiu autorikülgLäinud nädalal nõudis tornaado Hiinas vähemalt kümme inimelu ja vigastas sadu inimesi – enamikku neist koroonapealinnas Wuhanis. Eestis annab tornaado (trombi, keeristormi) ohvreid hilisemal ajal siiski vaid ühe käe sõrmedel üles lugeda. Teada on kolmest inimesest, keda tuulispask õhku tõmbas ja kümneid meetreid edasi viis. Pole rääkida ühtegi sarnast eksootilist lugu, nagu juhtus Leedus. Seal kiskus keeris 1935. aasta suvel Dubysa jõest kalu välja ja rõivastas kaldal seisnud talunaise nii osavalt lahti, et too terveks, aga ilma ainsagi hilbuta ihul jäi. 1745. aastast 2015. aastani on kirjeldusi 355 trombist meie mail, kirjutab monograafia „Eesti tornaadod“.Kolmest teadaolevast õhulennust trombi küüsis on viimane juhtunud 1997. aastal, kui Võrumaa ilmatark Jaan Allas pillutati poolesaja meetri kaugusele. 1966. aastast pärineb rekordlend – siis liugles 13aastane koolipoiss Henn Räpina kandis sadakonna meetri taha. Pärimus räägib ka, et 1920. aastal tiris tuulispask Vana-Otepääl noore tüdruku õhku. Kes teab, kui kaugele oleks tema lennanud, aga teele juhtus 15 meetri kaugusel seisnud telegraafipost, mille külge tüdruk olla klammerdunud."
ohtuleht,  täna 05:54,Krimi,https://www.ohtuleht.ee/1034553/kultuurimalestise-rikkuja-kohus-moistis-kalmistut-ruustanud-pensionarile-tingimisi-vangistuse,Kultuurimälestise rikkuja: kohus mõistis kalmistut rüüstanud pensionärile tingimisi vangistuse (7),"Pärnu maakohus mõistis Reopalu surnuaiast 186 vana nimesilti varastanud ja vanarauaks müünud pensionärile kaheaastase tingimisi vangistuse.76aastane Paide mees varastas vasest ja messingust sildid eelmise aasta lõpus. Politsei pidas ta kinni jaanuari alguses. Varas väänas ja tagus neid, et metalli kokkuostus ei tuntaks nimesilte ära. Läkski õnneks – ta oli enne tabamist rahaks teinud suurema osa varastatud ajaloost, teenides 46 kilo metalli eest 120 eurot.Mehele esitati süüdistus kultuurimälestise rikkumise paragrahvi alusel. Neljapäeval arutas süüasja Pärnu maakohus ja mõistis rüüstajale kaheaastase tingimisi vangistuse. Prokurör Merike Lugna sõnul tuleb süüalusel hüvitada ka tekitatud kahju. Muljutud siltide taastamiseks võib kuluda ligi 50 000 eurot ning Paide on palunud selle tasumiseks riigilt abi. Mees ütles pärast kohtuistungit Järva Teatajale, et märkas Reopalu kalmistul pikali kukkunud riste ja nendelt ta nimesiltide võtmist alustaski. „Tahtsin selleks lubada küsida, kuid ei kohanud kalmistuvahti,“ sõnas ta. "
